"genre","avgVote","income"
"Comedy, Drama, Family",6.2,2308355
"Action, Drama, Thriller",7.1,54491162
"Drama",6.7,2008649
"Crime, Drama",7.3,2029693
"Action, Drama, History",6.2,2749918
"Biography, Drama",5.9,2082980
"Drama, Fantasy, Horror",7,3096815
"Horror, Thriller",7.3,278454358
"Drama",7.4,65336603
"Horror, Mystery, Thriller",7.4,49851770
"Drama",7.5,3085977
"Comedy, Drama, Romance",7.4,9588282
"Animation, Drama, Fantasy",8.4,358922706
"Action, Horror, Thriller",7.6,92754562
"Action, Adventure, Fantasy",7.4,821847012
"Comedy, Crime, Drama",5.7,12751667
"Drama, History, Romance",6.2,9204549
"Action, Comedy, Crime",6,26800152
"Drama, Horror, Mystery",4.5,83080890
"Action, Adventure, Fantasy",6.3,681871991
"Action, Crime, Drama",6.3,169801921
"Biography, Drama",6.6,6423605
"Action, Adventure, Thriller",5.2,346118277
"Drama, Sci-Fi",5.7,55003890
"Horror",7.3,701796444
"Comedy, Drama, Romance",5.8,5042014
"Action, Crime, Drama",5.9,34814102
"Action, Comedy, Crime",5.5,177856751
"Biography, Drama, Musical",7.6,435086403
"Action, Thriller",7,145417936
"Action, Adventure, Fantasy",5.6,113231078
"Biography, Drama, Music",5.8,55668698
"Drama, Fantasy, Mystery",6.4,16373843
"Biography, Drama, History",6.6,4870373
"Biography, Drama, History",7,26152835
"Adventure, Comedy, Drama",7.2,205736628
"Crime, Drama, Mystery",5.1,43155261
"Action, Adventure, Fantasy",6.6,794878815
"Action, Drama, Mystery",8,259239658
"Action, Comedy, Crime",6.9,176600207
"Action, Thriller",6.2,67234188
"Comedy, Drama",5.5,25601244
"Action, Adventure, Drama",6.7,148675066
"Action, Sci-Fi, Thriller",5.3,221600160
"Comedy, Drama",6.9,125856180
"Drama, Horror, Mystery",5.2,45158254
"Action, Crime, Thriller",5.6,32917353
"Animation, Action, Comedy",6.2,125427681
"Biography, Drama, History",6.5,12217160
"Action, Adventure, Drama",6.4,62832209
"Action, Adventure, Fantasy",6.5,225874228
"Action, Adventure, Sci-Fi",7.4,880166924
"Action, Adventure, Comedy",6.9,962102237
"Horror, Sci-Fi, Thriller",6.4,240891763
"Action, Adventure, Comedy",4.5,60845711
"Action, Adventure, Fantasy",5.4,409231607
"Biography, Drama",7.1,22088533
"Animation, Adventure, Family",8.4,807083670
"Animation, Adventure, Comedy",6,197183546
"Action, Thriller",6.7,100014025
"Action, Adventure, Fantasy",7,1332540187
"Drama, Family",8,323253714
"Comedy, Crime",6.6,84918541
"Biography, Drama, History",6.1,6724365
"Drama",7.2,41681746
"Family, Fantasy, Musical",7.1,1264064380
"Biography, Drama, War",6.5,9995692
"Drama, Fantasy",6.3,96942115
"Adventure, Drama, Horror",5.6,62198461
"Animation, Action, Adventure",6,123081555
"Drama",6.5,12055868
"Animation, Biography, Crime",7.8,42187665
"Action, Drama, Sci-Fi",8.1,619021436
"Adventure, Biography, Drama",6,4536348
"Horror, Mystery",5.8,102952888
"Action, Adventure, Sci-Fi",5.2,605425157
"Comedy",5.6,41087017
"Crime, Drama, Mystery",6.5,352789811
"Animation, Adventure, Comedy",6.7,296069199
"Action, Adventure, Drama",7.4,490719763
"Drama, Thriller",5.1,17768012
"Animation, Adventure, Comedy",6.3,1034799409
"Animation, Adventure, Comedy",5.4,68743485
"Action, Adventure, Comedy",7.9,853979142
"Biography, Comedy, Drama",7.4,29820616
"Action, Biography, Comedy",7.2,134866593
"Adventure, Comedy, Drama",6.2,140552359
"Animation, Adventure, Comedy",6.7,383930656
"Action, Adventure, Sci-Fi",5.9,142337240
"Action, Adventure, Fantasy",6.6,566652812
"Action, Biography, Drama",7.6,26351322
"Animation, Adventure, Comedy",6.3,527965936
"Biography, Drama",6.9,8503658
"Action, Crime, Drama",7.6,226945087
"Action, Adventure, Comedy",7.6,863756051
"Drama, Romance, Sci-Fi",6.4,16080475
"Drama, Fantasy, Horror",4.2,29874280
"Animation, Action, Comedy",7.3,311950384
"Animation, Adventure, Comedy",6.1,60330833
"Biography, Crime, Drama",7.4,59284015
"Action, Adventure, Comedy",5.2,257750479
"Drama, Sci-Fi, Thriller",5.3,40656399
"Action, Crime, Thriller",7.5,173418558
"Drama, Romance",4.6,381545846
"Adventure, Comedy, Family",7.8,227978645
"Drama",7.6,43069254
"Comedy, Crime",5.6,34184504
"Comedy, Drama, Family",6.7,15845593
"Biography, Drama, History",7.4,153129891
"Crime, Drama, Thriller",6.6,4596705
"Animation, Adventure, Comedy",6.2,84315669
"Biography, Comedy, Drama",6.7,18598607
"Action, Adventure, Crime",6.7,1236005118
"Action, Adventure, Comedy",6.7,410902662
"Drama",6.1,5942565
"Biography, Crime, Drama",6.3,17535962
"Comedy, Drama, History",7.2,24646055
"Horror, Mystery",6.2,19735344
"Comedy, Music",5.8,185400345
"Comedy, Drama",6,62547032
"Comedy, Crime, Thriller",5.2,47347283
"Crime, Drama, Thriller",7.4,3283369
"Animation, Adventure, Comedy",3.3,217776646
"Comedy, Drama",7.4,79097104
"Drama, Romance",6.4,61621140
"Action, Drama, History",7.9,526949403
"Comedy, Crime, Drama",8.2,160192031
"Horror, Mystery, Thriller",7.7,272500313
"Biography, Drama, History",7.3,10898998
"Drama, Horror, Mystery",6.6,44516999
"Horror, Mystery, Thriller",6.5,306515884
"Comedy, Drama",7.2,4282973
"Biography, Drama",6.8,1792414
"Comedy, Drama",6.9,11625884
"Drama, History, Thriller",6.5,18263470
"Adventure, Comedy, Family",5.4,247585244
"Biography, Crime, Drama",6.8,56996304
"Biography, Crime, Drama",7.2,10116816
"Drama",6.7,2610794
"Horror, Mystery, Thriller",6.6,125479266
"Drama, Fantasy, Horror",5,23468586
"Drama",6.7,7286136
"Crime, Drama, Mystery",7.7,43980821
"Crime, Drama, History",7.3,23355100
"Comedy, Crime, Drama",7,48453605
"Horror, Sci-Fi, Thriller",6.6,100541806
"Comedy, Drama, Romance",7.5,56411585
"Drama, Western",7.2,35669017
"Comedy, Romance",6.5,6481798
"Crime, Drama, Mystery",6.7,3979536
"Biography, Comedy, Drama",7.5,53939297
"Adventure, Drama, Fantasy",7.3,195333312
"Drama, Thriller",6.3,27869129
"Comedy, Crime, Drama",6.7,3187255
"Drama",7.6,10971298
"Drama, Romance, Western",6.5,4101699
"Comedy",6,180613180
"Biography, Comedy, Drama",6.6,1335846
"Biography, Drama, Romance",6.7,4047917
"Comedy, Drama, Romance",5.8,37270721
"Comedy, Crime",4.5,7634022
"Drama, Romance",7.9,41887595
"Biography, Drama, Sport",6.9,3430165
"Drama, Romance",7.5,47756590
"Drama",7.1,1240663
"Biography, Drama, History",6.8,66558465
"Drama",6.2,15889124
"Animation, Adventure, Comedy",7.4,9399067
"Drama, Horror, Mystery",6.7,12294931
"Drama, Family",7.2,1983149
"Crime, Drama, Thriller",6.5,13025860
"Comedy, Family",4.3,40140972
"Comedy, Drama, Romance",6.1,5381950
"Action, History",6.4,9559524
"Drama, Romance",6.6,8003180
"Biography, Drama",6.3,18175663
"Comedy, Drama, Horror",3.8,48333932
"Drama, Fantasy, Romance",6.9,1951683
"Drama, Thriller",7.2,192938646
"Drama, Fantasy, Horror",7,1463727
"Comedy",5.6,130560428
"Horror, Mystery, Sci-Fi",5.3,3697729
"Drama, History, Thriller",7.4,1196669
"Crime, Drama, Thriller",7.7,3601603
"Action, Adventure, Drama",6,870325439
"Comedy, Horror",7.7,27590180
"Comedy, Crime, Mystery",6,31626386
"Fantasy, Horror, Mystery",6.8,7942093
"Biography, Drama, Fantasy",5.4,44019588
"Action, Crime, Drama",6.4,49562710
"Biography, Drama, History",7.3,105697415
"Biography, Drama",7.3,16636604
"Comedy, Crime, Mystery",3.8,40466970
"Action, Crime, Drama",7,80509622
"Action, Adventure, Sci-Fi",6.7,856085151
"Horror",5.2,31039126
"Action, Comedy, Crime",5.4,27506452
"Adventure, Comedy, Drama",6.4,2390383
"Action, Adventure, Fantasy",6.3,274650803
"Action, Drama, History",6.6,67450815
"Action, Adventure, Fantasy",6.9,1148485886
"Crime, Horror, Thriller",6.6,255485178
"Drama, Music, Romance",7.7,436188866
"Comedy, Romance",6,91244913
"Action, Adventure, Fantasy",6.1,83672673
"Action, Mystery, Thriller",6.3,119942387
"Adventure, Family, Fantasy",4.2,132675864
"Action, Adventure, Sci-Fi",7.5,582893671
"Biography, Drama, Music",8,906884690
"Biography, Crime, Drama",4.8,6412349
"Action, Adventure, Sci-Fi",7.3,1347280838
"Action, Thriller",6.6,31672678
"Horror, Thriller",5.5,18159691
"Comedy, Family, Fantasy",6,131457147
"Comedy, Drama, Romance",5.8,72294066
"Action, Adventure, Sci-Fi",6.1,428028233
"Animation, Adventure, Comedy",5.2,90497778
"Biography, Drama, History",6.3,46712809
"Comedy",6.2,94017294
"Action, Adventure, Sci-Fi",5.6,290930148
"Action, Comedy, Crime",6.9,117679066
"Animation, Comedy, Family",6.3,511595957
"Adventure, Drama, Horror",6.8,43070915
"Action, Comedy",6.5,78130625
"Action, Drama, Thriller",6.6,151572634
"Comedy, Drama, Romance",6.9,238538736
"Biography, Comedy, Drama",6.2,13061491
"Biography, Comedy, Drama",7.2,24420923
"Animation, Action, Adventure",7.6,1242805359
"Action, Crime, Thriller",6.7,190400157
"Action, Adventure, Sci-Fi",6.9,392924807
"Action, Adventure, Sci-Fi",5.3,160542134
"Biography, Drama, Sport",7.2,4376819
"Crime, Drama, Horror",6.8,3126916
"Drama",6.1,3326364
"Action, Adventure, Drama",5.7,41142379
"Drama, Music, Romance",6.7,16376066
"Adventure, Family, Fantasy",6.6,654855901
"Action, Adventure, Sci-Fi",8.4,2048359754
"Drama, Sci-Fi, Thriller",5.5,9330075
"Crime, Drama, Thriller",6.9,75984700
"Action, Adventure, Drama",6.7,98203196
"Drama, Romance, Thriller",4.5,371985018
"Action, Adventure, Sci-Fi",6.2,288175335
"Action, Adventure, Horror",6.6,41657844
"Action, Adventure, Drama",5.3,86493046
"Crime, Drama",6.4,25957482
"Action, Thriller",6.1,66308758
"Comedy, Drama, Family",7.3,197744377
"Biography, Comedy, Crime",7.1,12442161
"Animation, Action, Adventure",8.4,375540831
"Biography, Drama",7,38673750
"Action, Adventure, Sci-Fi",6.8,467989645
"Animation, Adventure, Comedy",6.1,54622814
"Horror, Mystery, Thriller",5.9,16024987
"Action, Horror, Sci-Fi",5.6,530259473
"Drama, Romance",6.6,27365467
"Action, Adventure, Sci-Fi",6.2,1331958159
"Action, Adventure, Thriller",7.7,791120426
"Crime, Drama, Mystery",6.9,19176163
"Crime, Drama, Western",7,13143056
"Comedy, Family, Fantasy",6.7,349545966
"Action, Adventure, Crime",7.1,75837743
"Biography, Comedy, Drama",7.5,95918706
"Action, Adventure, Comedy",7.1,622674139
"Adventure, Comedy, Family",6.6,351266433
"Action, Comedy, Crime",6.2,297718711
"Comedy, Drama, Romance",7.6,66316289
"Action, Crime, Drama",6.1,35164920
"Biography, Drama, Thriller",5.6,2713955
"Biography, Drama, History",6.6,17612099
"Animation, Adventure, Comedy",6.3,528583774
"Animation, Adventure, Family",6.9,4932694
"Action, Adventure, Crime",5.1,32517248
"Action, Adventure, Comedy",7.7,785794179
"Adventure, Family, Fantasy",5.5,173961069
"Crime, Drama",7.4,34934009
"Comedy, Drama, Mystery",7,15636462
"Comedy, Drama",7.4,9303022
"Comedy",5.6,65859911
"Adventure, Comedy, Family",5.6,93320380
"Action, Crime, Drama",6,9515914
"Comedy, Fantasy, Sci-Fi",6.9,18170707
"Horror, Mystery, Thriller",3.2,51738549
"Adventure, Comedy, Family",3.7,39156854
"Crime, Drama, Mystery",6.5,2053469
"Action, Adventure, Family",5.3,8467697
"Horror, Mystery, Thriller",5.7,167885588
"Horror, Mystery, Thriller",5.2,43016528
"Action, Adventure, Thriller",5.8,305858384
"Comedy, Drama, Romance",6.8,1548893
"Horror, Mystery, Thriller",5.3,365551694
"Action, Crime, Drama",6.1,13313581
"Animation, Adventure, Comedy",7.1,529323962
"Drama, Mystery",6.4,1083299
"Drama, Romance",6.8,7997774
"Action, Adventure, Crime",5.8,10313019
"Drama, Romance, Thriller",5.8,46403669
"Action, Horror, Sci-Fi",5.2,137056262
"Animation, Adventure, Comedy",6.6,214040103
"Action, Comedy, Crime",5.9,2584988
"Biography, Comedy, Drama",7.2,76073488
"Action, Adventure, Biography",6.6,59945012
"Drama, Sport",7.1,214215889
"Action, Crime, Drama",4.9,21753365
"Biography, Drama, Family",7.3,86086881
"Action, Adventure, Family",5.5,115084576
"Comedy",5.1,5103663
"Action, Sci-Fi, Thriller",7.5,16642819
"Drama, War",5.8,3589633
"Action, Drama, Thriller",6.2,13837294
"Comedy, Family, Romance",5.9,3369468
"Drama, History, Music",7.6,20343051
"Drama",6.3,3562793
"Crime, Drama, Mystery",7.1,31882724
"Drama, Horror, Sci-Fi",7.5,340949169
"Action, Adventure, Comedy",6,75339459
"Crime, Drama, Thriller",7.2,5080147
"Horror, Thriller",5.2,95330493
"Comedy",5.6,103105878
"Comedy, Romance",5.5,94539426
"Biography, Drama, Thriller",5.2,57076286
"Adventure, Drama",6.8,4144008
"Action, Drama, Thriller",6.5,53918723
"Comedy, Drama, Romance",6.1,104438188
"Action, Adventure, Drama",7,91708374
"Comedy, Musical, Romance",6.6,399906661
"Action, Adventure, Comedy",6.2,158970776
"Comedy, Romance",5.7,1362536
"Biography, Comedy, Drama",8.2,321752656
"Action, Fantasy, Horror",6.6,1524880
"Biography, Drama",6.9,11853081
"Comedy, Drama",7.4,14347433
"Drama, Fantasy, Romance",6.4,10421847
"Comedy, Crime, Drama",6.8,97644617
"Drama, Romance",7.1,20596567
"Action, Crime, Drama",6.2,5580940
"Action, Crime, Drama",5.4,51411620
"Drama, Horror, Mystery",6.4,14293601
"Comedy, Sport",5.7,46664414
"Biography, Drama, History",5.8,6216897
"Comedy, Drama",7.9,451183391
"Comedy, Drama, Romance",6.2,6842356
"Action, Crime, Drama",5.3,1404646
"Adventure, Biography, Drama",6.6,25915966
"Comedy, Drama",7.3,120556201
"Animation, Action, Adventure",6.8,52090236
"Drama",6.7,10134204
"Drama, Mystery, Thriller",7.6,75462037
"Action, Crime, Thriller",5.1,20780685
"Drama, Horror, Mystery",7.3,80239658
"Crime, Drama, Thriller",7,174804407
"Animation, Action, Adventure",7.9,115560610
"Comedy, Drama, Romance",4.8,33705333
"Drama, Mystery",7.2,42140994
"Drama",8.4,64417003
"Drama, Thriller",7.2,38844509
"Drama, Horror, Music",7.1,2027391
"Crime, Drama, Mystery",6.8,18477736
"Action, Adventure, Sci-Fi",7.3,404852543
"Action, Adventure, Comedy",7.1,365971656
"Drama, War",6.7,3364426
"Horror, Mystery, Thriller",5.7,113118226
"Horror, Thriller",5.4,48021766
"Action, Drama, Sci-Fi",5.7,173469516
"Horror, Mystery, Thriller",3.2,18529730
"Action, Thriller",6.1,91490353
"Comedy, Crime",5.4,95055451
"Comedy, Drama, Romance",7.6,33766787
"Comedy",7.2,24863452
"Action, Adventure, Comedy",6.7,122810399
"Animation, Comedy, Family",5.8,203044905
"Animation, Adventure, Comedy",5,32450241
"Action, Biography, Drama",8.1,225508210
"Animation, Adventure, Comedy",7.8,1073394593
"Biography, Drama, Music",7.3,195179299
"Action, Biography, Drama",7.1,176345966
"Comedy, Romance",6.8,53873809
"Action, Adventure, Fantasy",5.2,44665289
"Action, Adventure, Comedy",5.6,253890701
"Comedy, Drama",6.5,10821453
"Animation, Action, Adventure",7.5,521800153
"Comedy, Fantasy, Romance",5.9,48791187
"Action, Adventure, Fantasy",6.6,1074144248
"Comedy, Drama, War",7.9,90335025
"Adventure, Drama, Mystery",6.6,127461872
"Biography, Drama",7.3,67760877
"Drama, Romance",7.8,216601214
"Adventure, Drama, Family",6.9,4323948
"Biography, Drama, Romance",6.8,9090040
"Adventure, Horror, Mystery",6.2,104545505
"Animation, Action, Adventure",6.6,192306508
"Biography, Crime, Drama",7.5,43745542
"Action, Adventure, Fantasy",6,386600138
"Adventure, Family, Fantasy",6.3,353284621
"Drama",6.3,9932621
"Drama, Romance",5.4,69733482
"Action, Adventure, Sci-Fi",6.9,1128276090
"Action, Adventure, Drama",8.4,2797800564
"Animation, Adventure, Comedy",4.8,16349303
"Comedy, Drama",7.6,23620709
"Animation, Adventure, Comedy",4.6,9874439
"Action, Comedy, Crime",6.4,21360215
"Horror, Mystery, Thriller",5.8,21150265
"Animation, Adventure, Comedy",6.9,1450026933
"Action, Biography, Drama",6.5,43347017
"Adventure, Family, Fantasy",6.6,491730089
"Biography, Drama, History",7.1,10209813
"Horror, Mystery, Thriller",5.3,123133739
"Biography, Crime, Drama",7.6,50401502
"Biography, Drama, Western",5.9,1553483
"Action, Adventure, Comedy",4.7,73279888
"Horror, Mystery, Sci-Fi",6.2,1023510
"Animation, Adventure, Comedy",6.5,430051293
"Comedy, Drama, Sport",5.9,16418218
"Comedy, Crime, Drama",6.3,157563598
"Crime, Drama, Mystery",6.6,33856058
"Drama, Fantasy, Horror",7.4,72381712
"Comedy, Drama, Family",2.8,73832113
"Action, Crime, Drama",6.2,76419755
"Crime, Drama, Thriller",7.4,50023780
"Animation, Action, Adventure",6.8,171616764
"Action, Crime, Drama",5.5,15980032
"Action, Adventure, Comedy",6.6,433005346
"Action, Adventure, Horror",6.3,155712077
"Action, Crime, Drama",5.7,15383580
"Action, Adventure, Drama",6,8808611
"Animation, Adventure, Comedy",6.4,147792047
"Animation, Adventure, Drama",6.9,1656963790
"Comedy, Drama",6.5,22386555
"Adventure, Family, Fantasy",7,1050693953
"Action, Crime, Thriller",7.5,326709727
"Action, Thriller",6.4,146661977
"Action, Adventure, Sci-Fi",7.5,1131927996
"Animation, Adventure, Comedy",7,179990300
"Animation, Adventure, Comedy",6.7,26249469
"Biography, Drama",6.8,59863792
"Drama, Romance",7.4,194294327
"Drama, Music, Romance",5.8,6750029
"Animation, Adventure, Comedy",5.8,119559110
"Comedy, Drama",6.4,10505458
"Action, Adventure, Sci-Fi",6.2,261119292
"Drama, Romance",7.2,91522094
"Drama, Mystery, Thriller",5.4,14454622
"Comedy",5.5,4554416
"Biography, Comedy, Drama",7.1,40811919
"Comedy",5.7,4691248
"Action, Adventure, Sci-Fi",5.8,252442974
"Drama, Horror, Mystery",5.6,36973503
"Comedy, Drama, Thriller",8.6,257604912
"Drama, Horror, Mystery",6.2,5288011
"Action, Adventure, Thriller",6.4,759056935
"Action, Adventure, Family",6,32140970
"Drama, Sci-Fi, Thriller",6.7,246999039
"Horror, Mystery, Thriller",6.9,255184580
"Action, Adventure, Drama",6.7,125619985
"Comedy",4.4,74747725
"Biography, Drama",6.2,50444358
"Comedy, Drama",7.6,374343626
"Crime, Drama, Thriller",8.5,1074251311
"Adventure, Drama, Horror",5,46783103
"Adventure, Comedy",6.7,111037232
"Drama, Fantasy, Horror",6.5,473093228
"Action, Crime, Drama",6.3,22741061
"Action, Thriller",6.6,31626978
"Adventure, Comedy, Family",6.1,119682635
"Action, Sci-Fi",6,699856699
"Adventure, Drama, Family",6.7,80708134
"Comedy, Fantasy, Romance",5.2,72216294
"Action, Comedy, Crime",6.2,32390945
"Drama, Horror, Mystery",6.1,32893421
"Comedy, Horror, Mystery",6.8,57615777
"Horror, Mystery, Thriller",5.6,61105672
"Action, Adventure, Comedy",6.7,796575993
"Comedy, Fantasy, Music",6.8,153009121
"Comedy, Fantasy, Romance",5.4,48987096
"Horror",5.5,2295825
"Comedy, Horror, Mystery",6.2,64600152
"Drama, Family, Sport",6.6,38026103
"Comedy, Drama, Music",6.9,18096691
"Horror, Mystery, Thriller",5.9,231252591
"Action, Drama, Horror",6.2,91542097
"Action, Comedy, Crime",7.9,115171795
"Adventure, Comedy, Drama",7.5,75790499
"Drama, War",8.3,384857224
"Comedy, Drama, Romance",6.5,121550750
"Horror, Sci-Fi",5.8,44902237
"Action, Crime, Drama",6.6,49939757
"Crime, Drama, Romance",7.1,47794115
"Drama, Horror, Mystery",7.1,47903099
"Comedy, Crime, Drama",7.9,309232797
"Biography, Drama",5.8,21171090
"Action, Thriller",4.6,1009888
"Comedy, Family",5,68631669
"Comedy, Romance",6.1,9341824
